8	1.0266
23	1.0311
40	1.0358
56	1.0407
73	1.0458
89	1.0511
106	1.0564
123	1.0618
139	1.0672
156	1.0726
173	1.078
189	1.0832
206	1.0884
223	1.0933
239	1.0981
256	1.1026
273	1.1069
289	1.1109
306	1.1146
323	1.1179
339	1.1209
356	1.1234
373	1.1256
389	1.1273
406	1.1287
423	1.1295
439	1.13
456	1.1299
472	1.1295
491	1.1284
507	1.1271
523	1.1253
540	1.1231
557	1.1204
573	1.1174
591	1.1139
607	1.1102
624	1.1061
640	1.1019
657	1.0973
674	1.0925
690	1.0875
707	1.0822
723	1.0772
740	1.0719
757	1.0663
776	1.0606
790	1.0556
807	1.0503
823	1.0451
840	1.04
857	1.0351
873	1.0305
889	1.026
906	1.0219
922	1.018
939	1.0144
956	1.0112
973	1.0083
989	1.0059
1006	1.0038
1023	1.0022
1039	1.001
1056	1.0003
1072	1
1089	1.0002
1106	1.0008
1122	1.0018
1139	1.0033
1156	1.0053
1172	1.0076
1190	1.0103
1206	1.0135
1223	1.017
1239	1.0208
1256	1.0248
1272	1.0292
1289	1.0339
1306	1.0387
1323	1.0438
1339	1.049
1356	1.0543
1372	1.0597
1389	1.065
1406	1.0705
1422	1.0759
1439	1.0812
1456	1.0863
1473	1.0914
1489	1.0963
1506	1.1009
1523	1.1053
1539	1.1094
1556	1.1132
1573	1.1166
1590	1.1198
1606	1.1225
1623	1.1248
1639	1.1267
1656	1.1282
1673	1.1292
1689	1.1298
1706	1.13
1723	1.1297
1739	1.1289
1756	1.1277
1773	1.1261
1789	1.1241
1806	1.1216
1823	1.1187
1839	1.1155
1856	1.1119
1873	1.108
1890	1.1039
1906	1.0994
1923	1.0947
1940	1.0897
1956	1.0847
1973	1.0794
1990	1.0741
2006	1.0687
2023	1.0633
2039	1.0579
2056	1.0525
2073	1.0473
2090	1.0421
2106	1.0372
2123	1.0323
2139	1.0278
2156	1.0235
2173	1.0194
2189	1.0158
2206	1.0124
2222	1.0094
2239	1.0068
2256	1.0046
2273	1.0028
2290	1.0014
2306	1.0005
2323	1.0001
2340	1
2356	1.0005
2373	1.0014
2389	1.0027
2406	1.0045
2422	1.0066
2439	1.0092
2456	1.0122
2473	1.0155
2489	1.0192
2506	1.0232
2525	1.0891
2539	1.0939
2556	1.099
2572	1.1043
2589	1.1098
2606	1.1153
18075	choose	1.0034
18090	choose	1.0066
18107	choose	1.0098
18124	choose	1.0129
18140	choose	1.0155
18157	choose	1.0179
18175	choose	1.0202
18190	choose	1.0219
18206	choose	1.0233
18224	choose	1.0243
18240	choose	1.0249
18257	choose	1.025
18274	choose	1.0247
18291	choose	1.0239
18307	choose	1.0227
18323	choose	1.0212
18340	choose	1.0192
18357	choose	1.0169
18373	choose	1.0143
18390	choose	1.0115
18407	choose	1.0084
18423	choose	1.0052
18440	choose	1.0019
18457	choose	0.9986
18473	choose	0.9952
18490	choose	0.992
18507	choose	0.989
18524	choose	0.986
18540	choose	0.9834
18556	choose	0.9812
18574	choose	0.9791
18590	choose	0.9774
18606	choose	0.9762
18623	choose	0.9754
18640	choose	0.975
18657	choose	0.9751
18674	choose	0.9756
18690	choose	0.9766
18708	choose	0.978
18723	choose	0.9796
18742	choose	0.9819
18760	choose	0.9842
18773	choose	0.9869
18790	choose	0.9899
18807	choose	0.993
18823	choose	0.9962
18840	choose	0.9995
18857	choose	0.9995
22657	choose	1.0033
22673	choose	1.0066
22690	choose	1.0098
22707	choose	1.0127
22724	choose	1.0155
22741	choose	1.0181
22757	choose	1.0201
22774	choose	1.022
22791	choose	1.0234
22807	choose	1.0243
22824	choose	1.0249
22841	choose	1.025
22857	choose	1.0247
22873	choose	1.0239
22890	choose	1.0227
22907	choose	1.0211
22923	choose	1.0192
22940	choose	1.0169
22956	choose	1.0143
22973	choose	1.0114
22990	choose	1.0084
23007	choose	1.0051
23023	choose	1.0019
23041	choose	0.9985
23056	choose	0.9953
23074	choose	0.992
23090	choose	0.9889
23107	choose	0.986
23124	choose	0.9835
23140	choose	0.9811
23157	choose	0.9791
23173	choose	0.9774
23190	choose	0.9762
23209	choose	0.9754
23224	choose	0.975
23242	choose	0.9751
23257	choose	0.9756
23274	choose	0.9766
23290	choose	0.978
23307	choose	0.9797
23323	choose	0.9818
23340	choose	0.9842
23357	choose	0.987
23373	choose	0.9899
23390	choose	0.9931
23407	choose	0.9963
23423	choose	0.9996
23440	choose	0.9996
61391	choose	1.0033
61407	choose	1.0065
61424	choose	1.0098
61440	choose	1.0126
61457	choose	1.0154
61474	choose	1.0179
61490	choose	1.0201
61508	choose	1.022
61524	choose	1.0233
61541	choose	1.0243
61557	choose	1.0249
61574	choose	1.025
61591	choose	1.0247
61608	choose	1.0239
61624	choose	1.0227
61641	choose	1.0211
61658	choose	1.0192
61674	choose	1.0169
61691	choose	1.0143
61708	choose	1.0114
61724	choose	1.0083
61741	choose	1.0052
61758	choose	1.0018
61774	choose	0.9985
61791	choose	0.9951
61806	choose	0.9922
61824	choose	0.989
61840	choose	0.9862
61857	choose	0.9835
61874	choose	0.9811
61891	choose	0.9791
61908	choose	0.9774
61924	choose	0.9762
61941	choose	0.9754
61957	choose	0.975
61974	choose	0.9751
61991	choose	0.9756
62007	choose	0.9765
62024	choose	0.9779
62040	choose	0.9796
62057	choose	0.9817
62074	choose	0.9842
62090	choose	0.9869
62108	choose	0.9898
62124	choose	0.9929
62141	choose	0.9963
62158	choose	0.9995
62174	choose	0.9995
