t	scale
2482	1.0872
2489	1.0886
2495	1.0907
2502	1.0926
2509	1.0947
2514	1.0966
2520	1.0981
2526	1.0997
2531	1.1013
2537	1.1026
2543	1.1041
2548	1.1057
2556	1.1071
2561	1.1089
2566	1.1102
2573	1.1113
2578	1.1130
2583	1.1140
2591	1.1150
2596	1.1166
2602	1.1176
2609	1.1188
2615	1.1200
2622	1.1209
2627	1.1220
2633	1.1229
2640	1.1237
2645	1.1247
2650	1.1253
2656	1.1259
2661	1.1265
2666	1.1271
2673	1.1275
2679	1.1281
2684	1.1285
2692	1.1289
2697	1.1293
2703	1.1295
2709	1.1297
2714	1.1299
2719	1.1300
2725	1.1300
2730	1.1300
2736	1.1299
2742	1.1298
2747	1.1297
2754	1.1295
2759	1.1292
2764	1.1289
2770	1.1285
2776	1.1281
2781	1.1276
2787	1.1272
2793	1.1265
2798	1.1259
2804	1.1253
2809	1.1245
2815	1.1239
2822	1.1231
2827	1.1220
2832	1.1211
2840	1.1203
2845	1.1189
2850	1.1180
2857	1.1170
2862	1.1157
2868	1.1146
2874	1.1134
2879	1.1120
2884	1.1109
2890	1.1098
2895	1.1083
2901	1.1069
2907	1.1056
2912	1.1039
2918	1.1026
2924	1.1012
2929	1.0994
2935	1.0981
2941	1.0965
2946	1.0947
2951	1.0933
2957	1.0918
2962	1.0899
2968	1.0883
2974	1.0867
2978	1.0848
2983	1.0834
2991	1.0818
2996	1.0796
